Price ($),Description,Location,Bedrooms,Bathrooms,Unit Type,Parking,Size (sqft),Website
900.00,"Appartement studio tout inclus à louer – Ahuntsic, Montréal","Cartierville, Montréal•",0,1,Apartment,0,250,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/appartement-studio-tout-inclus-a-louer-ahuntsic-montreal/1740861736
1450.00,4 1/2 haut triplex 2 chambres fermées Ahuntsic Métro Crémazie,"Saint-Simon, Montréal•",2,1,Apartment,0,850,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/4-1-2-haut-triplex-2-chambres-fermees-ahuntsic-metro-cremazie/1741201896
600.00,CHAMBRE A LOUER,"Notre-Dame-de-la-Garde, Longueuil•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-room-rental-roommate/longueuil-rive-sud/chambre-a-louer/1739272578
2350.00,Condo 4 1/2 à louer au cœur du Plateau Mont-Royal,"Parc-Lafontaine, Montreal•",2,1,Condo,0,800,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/condo-4-1-2-a-louer-au-coeur-du-plateau-mont-royal/1742323780
1540.00,condo a louer,"Hochelaga-Maisonneuve, City of Montréal•",1,1,Condo,0,704,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/condo-a-louer/1742323767
1300.00,Appartement moderne à Ahuntsic Montreal,"Cartierville, Montréal•",1,1,Apartment,0,400,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/appartement-moderne-a-ahuntsic-montreal/1711953120
1450.00,Verdun Ouest Quatre et Demi au Rez de Chaussé (Bas) à Louer,"Desmarchais-Crawford, Montréal•",2,1,Apartment,0,700,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/verdun-ouest-quatre-et-demi-au-rez-de-chausse-bas-a-louer/1742323449
1845.00,Appartement 5.5 a louer Lasalle,"Angrignon, Montréal•",3,1,Apartment,0,1200,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/appartement-5-5-a-louer-lasalle/1742323269
690.00,"HEC, UdeM,Concordia ","Côte-des-Neiges, City of Montréal•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-room-rental-roommate/ville-de-montreal/hec-udem-concordia/1742323161
1650.00,Tres grand 4 1/2 à louer rénové et propre,"Saint-Leonard West, Montréal•",2,1,Apartment,1,900,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/tres-grand-4-1-2-a-louer-renove-et-propre/1742323139
750.00,"Chambre meublée non-fum. 1 coloc-25 08-750$-métro, plaza,2 parcs","Ville-Émard, Montreal•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-room-rental-roommate/ville-de-montreal/chambre-meublee-non-fum-1-coloc-25-08-750-metro-plaza-2-parcs/1742322960
1075.00,Transfert de bail appartement 3 1/2 pour le 1er Septembre,"Côte-Saint-Paul, Montréal•",1,1,Apartment,0,322,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/transfert-de-bail-appartement-3-1-2-pour-le-1er-septembre/1741476997
1350.00,3 1/2 available October 1st,"Westwood Park, City of Montréal•",1,1,Apartment,1,500,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-1-2-available-october-1st/1742322700
1980.00,5 1/2 3 bedroom appartement Verdun,"Verdun, Montreal•",3,1,Apartment,1,900,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/5-1-2-3-bedroom-appartement-verdun/1740922614
850.00,Room 850$ Metro Jolicoeur,"Côte-Saint-Paul, Montreal•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-room-rental-roommate/ville-de-montreal/room-850-metro-jolicoeur/1737231140
1450.00,Appartement 4 1/2,"Mercier, West Island•",2,1,Apartment,2,850,https://www.kijiji.ca/v-apartments-condos/ouest-de-lile-qc/appartement-4-1-2/1742322522
2330.00,"Grand 7½ à Ahuntsic – 4 chambres, garage – Libre 1er novembre","Ahuntsic, Montreal•",4,2.5,Apartment,2,2200,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/grand-7-a-ahuntsic-4-chambres-garage-libre-1er-novembre/1742322422
1500.00,BROSSARD | Charmant 3½ dans Secteur C | Près de tout!,"sector C, Brossard•",1,1,Condo,1,650,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/brossard-charmant-3-dans-secteur-c-pres-de-tout/1742322416
2295.00,Grand 4 ½ au centre-ville de Montréal – Cession de bail,"Gay Village, City of Montréal•",2,1,Condo,2,900,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/grand-4-au-centre-ville-de-montreal-cession-de-bail/1742322293
1570.00,Fully furnished 1 bdr,"Parc-Lafontaine, Montreal•",1,1,Apartment,0,496,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/fully-furnished-1-bdr/1742322209
1450.00,Un mois gratuit!! 4 1/2   2 ch. fermées  Beaubien Rosemont,"La Petite-Patrie, Montréal•",2,1,Duplex/Triplex,0,900,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/un-mois-gratuit-4-1-2-2-ch-fermees-beaubien-rosemont/1742322183
1400.00,"Superbe 4 ½ à louer , Metro Cadilac 2-Bedroom Apartment for rent","Mercier-Ouest / Longue-Pointe, Montreal•",2,1,Apartment,1,800,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/superbe-4-a-louer-metro-cadilac-2-bedroom-apartment-for-rent/1742322091
1550.00,"4.5 Style Condo,  Semi-Meublé 1550$ (28-103)",City of Montréal•,2,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/4-5-style-condo-semi-meuble-1550-28-103/1730578185
1295.00,"3 1/2 Villa St-Germain, Style Condo, Semi-Meublé, 1295$",City of Montréal•,1,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-1-2-villa-st-germain-style-condo-semi-meuble-1295/1650788577
1800.00,Un 5 et 1/2 à Boucherville à louer,"Boucherville, Boucherville•",3,1,Apartment,1,1000,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/un-5-et-1-2-a-boucherville-a-louer/1742321835
1300.00,"Longueuil, 4 ½ - $1300/month - Balcony. 2950 Mazenod Street","Sacré-Coeur, Longueuil•",2,1,Apartment,1,850,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/longueuil-4-1300-month-balcony-2950-mazenod-street/1742321833
1145.00,One-Bedroom Apartment on Saint-Denis Street,"Little Italy, Montreal•",0,1,Apartment,1,670,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/one-bedroom-apartment-on-saint-denis-street/1742321643
2250.00,6 bedrooms 2 washroom for rent 2250,"Hillcrest Gardens, City of Montréal•",5,2,House,2,1750,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/6-bedrooms-2-washroom-for-rent-2250/1742321597
785.00,room for rent (lease transfer),"Centre-Sud, City of Montréal•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-room-rental-roommate/ville-de-montreal/room-for-rent-lease-transfer/1742321589
1140.00,Terrasses Embassy Apartments - Bachelor available at 3440 Duroch,Montréal•,0,1,Apartment,0,340,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/terrasses-embassy-apartments-bachelor-available-at-3440-duroch/1741402447
1850.00,SUPERBE 4 ½ MEUBLÉ AVEC JARDINET ET COUR ARRIÈRE – LE PLATEAU,"Saint-Louis, Montreal•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-short-term-rental/ville-de-montreal/superbe-4-meuble-avec-jardinet-et-cour-arriere-le-plateau/1741336359
2900.00,Condo Pompano Beach/ Pam Aire,"Duvernay, Laval / North Shore•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-short-term-rental/laval-rive-nord/condo-pompano-beach-pam-aire/1741337014
1190.00,Grand 4½ au troisième étage/Spacious 4½ third floor,"Sauvé Park, Montréal•",2,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/grand-4-au-troisieme-etage-spacious-4-third-floor/1742321161
Please Contact,CONDO 2 CHAMBRES • 2 SALLES DE BAIN – AHUNTSIC,"Saint Benoît Park, City of Montréal•",2.5,2,Condo,1,100,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/condo-2-chambres-2-salles-de-bain-ahuntsic/1742321136
1300.00,"NDG, beau, tres grand 3 ½ Metro Snowdon, Villa Maria, Septembre","Notre-Dame-de-Grâce, Montréal•",1.5,1,Apartment,0,800,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/ndg-beau-tres-grand-3-metro-snowdon-villa-maria-septembre/1742321005
1395.00,Domaine Mistral - Large 1 Bedroom  Apartment for Rent,Montréal•,1,1,Apartment,0,560,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/domaine-mistral-large-1-bedroom-apartment-for-rent/1739781250
1895.00,"Grand 5½ rénové – NDG –  $1,895 -Chauffage inclus","Loyola, Montreal•",3,1,Duplex/Triplex,0,1000,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/grand-5-renove-ndg-1-895-chauffage-inclus/1740660670
1499.00,4 1/2 entièrement rénové - Très lumineux - Cachet - Hochelaga,"Hochelaga-Maisonneuve, Montréal•",2,1,Apartment,0,650,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/4-1-2-entierement-renove-tres-lumineux-cachet-hochelaga/1741649651
1625.00,1 ch (3 1 2) / 1 bed Appartement à louer à Brossard,Longueuil / South Shore•,1,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/1-ch-3-1-2-1-bed-appartement-a-louer-a-brossard/1718364113
1650.00,Grand 5½ lumineux | Face au parc Laurier |Stationnement & locker,Longueuil / South Shore•,3,1,Apartment,1,N/A,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/grand-5-lumineux-face-au-parc-laurier-stationnement-locker/1739480944
1400.00,YORKVILLE GOLD 2 - NEW BLDG.,"Marcel Laurin Park, City of Montréal•",1,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/yorkville-gold-2-new-bldg/1735662802
1615.00,4 1/2 sur 2 étage ,"Iberville, Longueuil / South Shore•",2,2,Apartment,1,1200,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/4-1-2-sur-2-etage/1742324698
1230.00,Fully furnished 2 1/2 condo Guy Concordia available Sep.1,"sector M, Brossard•",1,1,Condo,0,580,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/fully-furnished-2-1-2-condo-guy-concordia-available-sep-1/1742324578
1400.00,Downtown Montreal Condo/Condo Centre-Ville de Montréal,"Golden Square Mile, Montréal•",1,1,Condo,0,592,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/downtown-montreal-condo-condo-centre-ville-de-montreal/1742324061
1890.00,3/2 à louer- Downtown Montréal,"Quartier-des-Spectacles, City of Montréal•",1,1,Condo,0,415,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-2-a-louer-downtown-montreal/1740148220
900.00,"Appartement studio tout inclus à louer – Ahuntsic, Montréal","Cartierville, Montréal•",0,1,Apartment,0,250,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/appartement-studio-tout-inclus-a-louer-ahuntsic-montreal/1740861736
1450.00,4 1/2 haut triplex 2 chambres fermées Ahuntsic Métro Crémazie,"Saint-Simon, Montréal•",2,1,Apartment,0,850,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/4-1-2-haut-triplex-2-chambres-fermees-ahuntsic-metro-cremazie/1741201896
600.00,CHAMBRE A LOUER,"Notre-Dame-de-la-Garde, Longueuil•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-room-rental-roommate/longueuil-rive-sud/chambre-a-louer/1739272578
2350.00,Condo 4 1/2 à louer au cœur du Plateau Mont-Royal,"Parc-Lafontaine, Montreal•",2,1,Condo,0,800,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/condo-4-1-2-a-louer-au-coeur-du-plateau-mont-royal/1742323780
1540.00,condo a louer,"Hochelaga-Maisonneuve, City of Montréal•",1,1,Condo,0,704,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/condo-a-louer/1742323767
1300.00,Appartement moderne à Ahuntsic Montreal,"Cartierville, Montréal•",1,1,Apartment,0,400,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/appartement-moderne-a-ahuntsic-montreal/1711953120
1450.00,Verdun Ouest Quatre et Demi au Rez de Chaussé (Bas) à Louer,"Desmarchais-Crawford, Montréal•",2,1,Apartment,0,700,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/verdun-ouest-quatre-et-demi-au-rez-de-chausse-bas-a-louer/1742323449
1845.00,Appartement 5.5 a louer Lasalle,"Angrignon, Montréal•",3,1,Apartment,0,1200,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/appartement-5-5-a-louer-lasalle/1742323269
690.00,"HEC, UdeM,Concordia ","Côte-des-Neiges, City of Montréal•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-room-rental-roommate/ville-de-montreal/hec-udem-concordia/1742323161
1650.00,Tres grand 4 1/2 à louer rénové et propre,"Saint-Leonard West, Montréal•",2,1,Apartment,1,900,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/tres-grand-4-1-2-a-louer-renove-et-propre/1742323139
750.00,"Chambre meublée non-fum. 1 coloc-25 08-750$-métro, plaza,2 parcs","Ville-Émard, Montreal•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-room-rental-roommate/ville-de-montreal/chambre-meublee-non-fum-1-coloc-25-08-750-metro-plaza-2-parcs/1742322960
1075.00,Transfert de bail appartement 3 1/2 pour le 1er Septembre,"Côte-Saint-Paul, Montréal•",1,1,Apartment,0,322,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/transfert-de-bail-appartement-3-1-2-pour-le-1er-septembre/1741476997
1350.00,3 1/2 available October 1st,"Westwood Park, City of Montréal•",1,1,Apartment,1,500,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-1-2-available-october-1st/1742322700
1980.00,5 1/2 3 bedroom appartement Verdun,"Verdun, Montreal•",3,1,Apartment,1,900,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/5-1-2-3-bedroom-appartement-verdun/1740922614
850.00,Room 850$ Metro Jolicoeur,"Côte-Saint-Paul, Montreal•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-room-rental-roommate/ville-de-montreal/room-850-metro-jolicoeur/1737231140
1450.00,Appartement 4 1/2,"Mercier, West Island•",2,1,Apartment,2,850,https://www.kijiji.ca/v-apartments-condos/ouest-de-lile-qc/appartement-4-1-2/1742322522
2330.00,"Grand 7½ à Ahuntsic – 4 chambres, garage – Libre 1er novembre","Ahuntsic, Montreal•",4,2.5,Apartment,2,2200,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/grand-7-a-ahuntsic-4-chambres-garage-libre-1er-novembre/1742322422
1500.00,BROSSARD | Charmant 3½ dans Secteur C | Près de tout!,"sector C, Brossard•",1,1,Condo,1,650,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/brossard-charmant-3-dans-secteur-c-pres-de-tout/1742322416
2295.00,Grand 4 ½ au centre-ville de Montréal – Cession de bail,"Gay Village, City of Montréal•",2,1,Condo,2,900,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/grand-4-au-centre-ville-de-montreal-cession-de-bail/1742322293
1570.00,Fully furnished 1 bdr,"Parc-Lafontaine, Montreal•",1,1,Apartment,0,496,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/fully-furnished-1-bdr/1742322209
1450.00,Un mois gratuit!! 4 1/2   2 ch. fermées  Beaubien Rosemont,"La Petite-Patrie, Montréal•",2,1,Duplex/Triplex,0,900,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/un-mois-gratuit-4-1-2-2-ch-fermees-beaubien-rosemont/1742322183
1400.00,"Superbe 4 ½ à louer , Metro Cadilac 2-Bedroom Apartment for rent","Mercier-Ouest / Longue-Pointe, Montreal•",2,1,Apartment,1,800,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/superbe-4-a-louer-metro-cadilac-2-bedroom-apartment-for-rent/1742322091
1550.00,"4.5 Style Condo,  Semi-Meublé 1550$ (28-103)",City of Montréal•,2,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/4-5-style-condo-semi-meuble-1550-28-103/1730578185
1295.00,"3 1/2 Villa St-Germain, Style Condo, Semi-Meublé, 1295$",City of Montréal•,1,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-1-2-villa-st-germain-style-condo-semi-meuble-1295/1650788577
1800.00,Un 5 et 1/2 à Boucherville à louer,"Boucherville, Boucherville•",3,1,Apartment,1,1000,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/un-5-et-1-2-a-boucherville-a-louer/1742321835
1300.00,"Longueuil, 4 ½ - $1300/month - Balcony. 2950 Mazenod Street","Sacré-Coeur, Longueuil•",2,1,Apartment,1,850,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/longueuil-4-1300-month-balcony-2950-mazenod-street/1742321833
1145.00,One-Bedroom Apartment on Saint-Denis Street,"Little Italy, Montreal•",0,1,Apartment,1,670,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/one-bedroom-apartment-on-saint-denis-street/1742321643
2250.00,6 bedrooms 2 washroom for rent 2250,"Hillcrest Gardens, City of Montréal•",5,2,House,2,1750,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/6-bedrooms-2-washroom-for-rent-2250/1742321597
785.00,room for rent (lease transfer),"Centre-Sud, City of Montréal•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-room-rental-roommate/ville-de-montreal/room-for-rent-lease-transfer/1742321589
1140.00,Terrasses Embassy Apartments - Bachelor available at 3440 Duroch,Montréal•,0,1,Apartment,0,340,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/terrasses-embassy-apartments-bachelor-available-at-3440-duroch/1741402447
1850.00,SUPERBE 4 ½ MEUBLÉ AVEC JARDINET ET COUR ARRIÈRE – LE PLATEAU,"Saint-Louis, Montreal•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-short-term-rental/ville-de-montreal/superbe-4-meuble-avec-jardinet-et-cour-arriere-le-plateau/1741336359
2900.00,Condo Pompano Beach/ Pam Aire,"Duvernay, Laval / North Shore•",N/A,N/A,N/A,N/A,N/A,https://www.kijiji.ca/v-short-term-rental/laval-rive-nord/condo-pompano-beach-pam-aire/1741337014
1190.00,Grand 4½ au troisième étage/Spacious 4½ third floor,"Sauvé Park, Montréal•",2,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/grand-4-au-troisieme-etage-spacious-4-third-floor/1742321161
Please Contact,CONDO 2 CHAMBRES • 2 SALLES DE BAIN – AHUNTSIC,"Saint Benoît Park, City of Montréal•",2.5,2,Condo,1,100,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/condo-2-chambres-2-salles-de-bain-ahuntsic/1742321136
1300.00,"NDG, beau, tres grand 3 ½ Metro Snowdon, Villa Maria, Septembre","Notre-Dame-de-Grâce, Montréal•",1.5,1,Apartment,0,800,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/ndg-beau-tres-grand-3-metro-snowdon-villa-maria-septembre/1742321005
